Date,Value,Series,labels
1986-10-01T00:00:00,14.7,15 to 24 years,1986-10-01T00:00:00
1986-11-01T00:00:00,15.7,15 to 24 years,1986-11-01T00:00:00
1986-12-01T00:00:00,16.3,15 to 24 years,1986-12-01T00:00:00
1987-01-01T00:00:00,16.3,15 to 24 years,1987-01-01T00:00:00
1987-02-01T00:00:00,16.1,15 to 24 years,1987-02-01T00:00:00
1987-03-01T00:00:00,14.5,15 to 24 years,1987-03-01T00:00:00
1987-04-01T00:00:00,15,15 to 24 years,1987-04-01T00:00:00
1987-05-01T00:00:00,14.2,15 to 24 years,1987-05-01T00:00:00
1987-06-01T00:00:00,15.2,15 to 24 years,1987-06-01T00:00:00
1987-07-01T00:00:00,13.9,15 to 24 years,1987-07-01T00:00:00
1987-08-01T00:00:00,14.5,15 to 24 years,1987-08-01T00:00:00
1987-09-01T00:00:00,14.3,15 to 24 years,1987-09-01T00:00:00
1987-10-01T00:00:00,13.8,15 to 24 years,1987-10-01T00:00:00
1987-11-01T00:00:00,12.3,15 to 24 years,1987-11-01T00:00:00
1987-12-01T00:00:00,12.8,15 to 24 years,1987-12-01T00:00:00
1988-01-01T00:00:00,13,15 to 24 years,1988-01-01T00:00:00
1988-02-01T00:00:00,12.1,15 to 24 years,1988-02-01T00:00:00
1988-03-01T00:00:00,12.1,15 to 24 years,1988-03-01T00:00:00
1988-04-01T00:00:00,12.2,15 to 24 years,1988-04-01T00:00:00
1988-05-01T00:00:00,12.9,15 to 24 years,1988-05-01T00:00:00
1988-06-01T00:00:00,11.5,15 to 24 years,1988-06-01T00:00:00
1988-07-01T00:00:00,12.9,15 to 24 years,1988-07-01T00:00:00
1988-08-01T00:00:00,12.5,15 to 24 years,1988-08-01T00:00:00
1988-09-01T00:00:00,12.3,15 to 24 years,1988-09-01T00:00:00
1988-10-01T00:00:00,13,15 to 24 years,1988-10-01T00:00:00
1988-11-01T00:00:00,11.6,15 to 24 years,1988-11-01T00:00:00
1988-12-01T00:00:00,11.4,15 to 24 years,1988-12-01T00:00:00
1989-01-01T00:00:00,11.2,15 to 24 years,1989-01-01T00:00:00
1989-02-01T00:00:00,10.2,15 to 24 years,1989-02-01T00:00:00
1989-03-01T00:00:00,11.7,15 to 24 years,1989-03-01T00:00:00
1989-04-01T00:00:00,10.8,15 to 24 years,1989-04-01T00:00:00
1989-05-01T00:00:00,9.7,15 to 24 years,1989-05-01T00:00:00
1989-06-01T00:00:00,10.8,15 to 24 years,1989-06-01T00:00:00
1989-07-01T00:00:00,9.1,15 to 24 years,1989-07-01T00:00:00
1989-08-01T00:00:00,10,15 to 24 years,1989-08-01T00:00:00
1989-09-01T00:00:00,10.3,15 to 24 years,1989-09-01T00:00:00
1989-10-01T00:00:00,9.7,15 to 24 years,1989-10-01T00:00:00
1989-11-01T00:00:00,10.2,15 to 24 years,1989-11-01T00:00:00
1989-12-01T00:00:00,10.2,15 to 24 years,1989-12-01T00:00:00
1990-01-01T00:00:00,10.5,15 to 24 years,1990-01-01T00:00:00
1990-02-01T00:00:00,10.4,15 to 24 years,1990-02-01T00:00:00
1990-03-01T00:00:00,9.6,15 to 24 years,1990-03-01T00:00:00
1990-04-01T00:00:00,10.7,15 to 24 years,1990-04-01T00:00:00
1990-05-01T00:00:00,10.4,15 to 24 years,1990-05-01T00:00:00
1990-06-01T00:00:00,9.3,15 to 24 years,1990-06-01T00:00:00
1990-07-01T00:00:00,10.4,15 to 24 years,1990-07-01T00:00:00
1990-08-01T00:00:00,9.9,15 to 24 years,1990-08-01T00:00:00
1990-09-01T00:00:00,11.4,15 to 24 years,1990-09-01T00:00:00
1990-10-01T00:00:00,11.4,15 to 24 years,1990-10-01T00:00:00
1990-11-01T00:00:00,11.5,15 to 24 years,1990-11-01T00:00:00
1990-12-01T00:00:00,11.8,15 to 24 years,1990-12-01T00:00:00
1991-01-01T00:00:00,10.8,15 to 24 years,1991-01-01T00:00:00
1991-02-01T00:00:00,11.6,15 to 24 years,1991-02-01T00:00:00
1991-03-01T00:00:00,12.1,15 to 24 years,1991-03-01T00:00:00
1991-04-01T00:00:00,11.6,15 to 24 years,1991-04-01T00:00:00
1991-05-01T00:00:00,11.7,15 to 24 years,1991-05-01T00:00:00
1991-06-01T00:00:00,12.6,15 to 24 years,1991-06-01T00:00:00
