Date,GeoID,GeoName,Type,Value
1985-07-01T00:00:00,48,Alberta,Interprovincial,-6431
1985-10-01T00:00:00,48,Alberta,Total migration,3094
1985-10-01T00:00:00,48,Alberta,International,278
1985-10-01T00:00:00,48,Alberta,Interprovincial,2816
1986-01-01T00:00:00,48,Alberta,Interprovincial,1338
1986-01-01T00:00:00,48,Alberta,International,2264
1986-01-01T00:00:00,48,Alberta,Total migration,3602
1986-04-01T00:00:00,48,Alberta,Interprovincial,-1554
1986-04-01T00:00:00,48,Alberta,International,2274
1986-04-01T00:00:00,48,Alberta,Total migration,720
1986-07-01T00:00:00,48,Alberta,Interprovincial,-12971
1986-07-01T00:00:00,48,Alberta,International,2411
1986-07-01T00:00:00,48,Alberta,Total migration,-10560
1986-10-01T00:00:00,48,Alberta,Interprovincial,-4179
1986-10-01T00:00:00,48,Alberta,International,691
1986-10-01T00:00:00,48,Alberta,Total migration,-3488
1987-01-01T00:00:00,48,Alberta,Total migration,-679
1987-01-01T00:00:00,48,Alberta,International,2905
1987-01-01T00:00:00,48,Alberta,Interprovincial,-3584
1987-04-01T00:00:00,48,Alberta,Total migration,-5739
1987-04-01T00:00:00,48,Alberta,International,3525
1987-04-01T00:00:00,48,Alberta,Interprovincial,-9264
1987-07-01T00:00:00,48,Alberta,Total migration,-10375
1987-07-01T00:00:00,48,Alberta,International,3799
1987-07-01T00:00:00,48,Alberta,Interprovincial,-14174
1987-10-01T00:00:00,48,Alberta,Total migration,-348
1987-10-01T00:00:00,48,Alberta,International,1692
1987-10-01T00:00:00,48,Alberta,Interprovincial,-2040
1988-01-01T00:00:00,48,Alberta,Total migration,1085
1988-01-01T00:00:00,48,Alberta,International,3057
1988-01-01T00:00:00,48,Alberta,Interprovincial,-1972
1988-04-01T00:00:00,48,Alberta,Interprovincial,-5037
1988-04-01T00:00:00,48,Alberta,International,3933
1988-04-01T00:00:00,48,Alberta,Total migration,-1104
1988-07-01T00:00:00,48,Alberta,Interprovincial,-3597
1988-07-01T00:00:00,48,Alberta,International,4881
1988-07-01T00:00:00,48,Alberta,Total migration,1284
1988-10-01T00:00:00,48,Alberta,Total migration,5929
1988-10-01T00:00:00,48,Alberta,International,2706
1988-10-01T00:00:00,48,Alberta,Interprovincial,3223
1989-01-01T00:00:00,48,Alberta,Total migration,4794
1989-01-01T00:00:00,48,Alberta,International,3900
1989-01-01T00:00:00,48,Alberta,Interprovincial,894
1989-04-01T00:00:00,48,Alberta,Total migration,1500
1989-04-01T00:00:00,48,Alberta,International,3548
1989-04-01T00:00:00,48,Alberta,Interprovincial,-2048
1989-07-01T00:00:00,48,Alberta,Total migration,1426
1989-07-01T00:00:00,48,Alberta,International,4191
1989-07-01T00:00:00,48,Alberta,Interprovincial,-2765
1989-10-01T00:00:00,48,Alberta,Total migration,6521
1989-10-01T00:00:00,48,Alberta,International,2282
1989-10-01T00:00:00,48,Alberta,Interprovincial,4239
1990-01-01T00:00:00,48,Alberta,Total migration,5686
1990-01-01T00:00:00,48,Alberta,International,4370
1990-01-01T00:00:00,48,Alberta,Interprovincial,1316
1990-04-01T00:00:00,48,Alberta,Total migration,7460
1990-04-01T00:00:00,48,Alberta,International,4657
1990-04-01T00:00:00,48,Alberta,Interprovincial,2803
1990-07-01T00:00:00,48,Alberta,Total migration,8225
1990-07-01T00:00:00,48,Alberta,International,3739
1990-07-01T00:00:00,48,Alberta,Interprovincial,4486
1990-10-01T00:00:00,48,Alberta,Total migration,3799
1990-10-01T00:00:00,48,Alberta,International,1879
1990-10-01T00:00:00,48,Alberta,Interprovincial,1920
1991-01-01T00:00:00,48,Alberta,Total migration,1155
1991-01-01T00:00:00,48,Alberta,International,639
1991-01-01T00:00:00,48,Alberta,Interprovincial,516
1991-04-01T00:00:00,48,Alberta,Total migration,4129
1991-04-01T00:00:00,48,Alberta,International,2068
1991-04-01T00:00:00,48,Alberta,Interprovincial,2061
1991-07-01T00:00:00,48,Alberta,Total migration,4490
1991-07-01T00:00:00,48,Alberta,International,1871
1991-07-01T00:00:00,48,Alberta,Interprovincial,2619
1991-10-01T00:00:00,48,Alberta,Total migration,1631
1991-10-01T00:00:00,48,Alberta,International,1192
1991-10-01T00:00:00,48,Alberta,Interprovincial,439
1992-01-01T00:00:00,48,Alberta,Interprovincial,-785
1992-01-01T00:00:00,48,Alberta,International,3122
1992-01-01T00:00:00,48,Alberta,Total migration,2337
1992-04-01T00:00:00,48,Alberta,Total migration,4424
1992-04-01T00:00:00,48,Alberta,International,3714
1992-04-01T00:00:00,48,Alberta,Interprovincial,710
1992-07-01T00:00:00,48,Alberta,Total migration,4023
1992-07-01T00:00:00,48,Alberta,International,2789
1992-07-01T00:00:00,48,Alberta,Interprovincial,1234
1992-10-01T00:00:00,48,Alberta,Total migration,1707
1992-10-01T00:00:00,48,Alberta,International,1836
1992-10-01T00:00:00,48,Alberta,Interprovincial,-129
1993-01-01T00:00:00,48,Alberta,Total migration,1425
1993-01-01T00:00:00,48,Alberta,International,2720
1993-01-01T00:00:00,48,Alberta,Interprovincial,-1295
1993-04-01T00:00:00,48,Alberta,Total migration,2170
1993-04-01T00:00:00,48,Alberta,International,3161
1993-04-01T00:00:00,48,Alberta,Interprovincial,-991
1993-07-01T00:00:00,48,Alberta,Total migration,4909
1993-07-01T00:00:00,48,Alberta,International,3395
1993-07-01T00:00:00,48,Alberta,Interprovincial,1514
1993-10-01T00:00:00,48,Alberta,Total migration,-255
1993-10-01T00:00:00,48,Alberta,International,1328
1993-10-01T00:00:00,48,Alberta,Interprovincial,-1583
1994-01-01T00:00:00,48,Alberta,Total migration,2493
1994-01-01T00:00:00,48,Alberta,International,2784
1994-01-01T00:00:00,48,Alberta,Interprovincial,-291
1994-04-01T00:00:00,48,Alberta,Interprovincial,-1270
1994-04-01T00:00:00,48,Alberta,International,3860
1994-04-01T00:00:00,48,Alberta,Total migration,2590
1994-07-01T00:00:00,48,Alberta,Total migration,2334
1994-07-01T00:00:00,48,Alberta,International,3369
1994-07-01T00:00:00,48,Alberta,Interprovincial,-1035
1994-10-01T00:00:00,48,Alberta,Interprovincial,-88
1994-10-01T00:00:00,48,Alberta,International,1657
1994-10-01T00:00:00,48,Alberta,Total migration,1569
1995-01-01T00:00:00,48,Alberta,Interprovincial,375
1995-01-01T00:00:00,48,Alberta,International,3314
1995-01-01T00:00:00,48,Alberta,Total migration,3689
1995-04-01T00:00:00,48,Alberta,Interprovincial,192
1995-04-01T00:00:00,48,Alberta,International,3513
1995-04-01T00:00:00,48,Alberta,Total migration,3705
1995-07-01T00:00:00,48,Alberta,Total migration,4678
1995-07-01T00:00:00,48,Alberta,International,2855
1995-07-01T00:00:00,48,Alberta,Interprovincial,1823
1995-10-01T00:00:00,48,Alberta,Total migration,3439
1995-10-01T00:00:00,48,Alberta,International,1578
1995-10-01T00:00:00,48,Alberta,Interprovincial,1861
1996-01-01T00:00:00,48,Alberta,Interprovincial,1584
1996-01-01T00:00:00,48,Alberta,International,2764
1996-01-01T00:00:00,48,Alberta,Total migration,4348
1996-04-01T00:00:00,48,Alberta,Interprovincial,2388
1996-04-01T00:00:00,48,Alberta,International,4220
1996-04-01T00:00:00,48,Alberta,Total migration,6608
1996-07-01T00:00:00,48,Alberta,Interprovincial,5966
1996-07-01T00:00:00,48,Alberta,International,3742
1996-07-01T00:00:00,48,Alberta,Total migration,9708
1996-10-01T00:00:00,48,Alberta,Total migration,6192
1996-10-01T00:00:00,48,Alberta,International,1061
1996-10-01T00:00:00,48,Alberta,Interprovincial,5131
1997-01-01T00:00:00,48,Alberta,Total migration,9553
1997-01-01T00:00:00,48,Alberta,International,3073
1997-01-01T00:00:00,48,Alberta,Interprovincial,6480
1997-04-01T00:00:00,48,Alberta,Total migration,11903
1997-04-01T00:00:00,48,Alberta,International,3198
1997-04-01T00:00:00,48,Alberta,Interprovincial,8705
1997-07-01T00:00:00,48,Alberta,Total migration,13066
1997-07-01T00:00:00,48,Alberta,International,2661
1997-07-01T00:00:00,48,Alberta,Interprovincial,10405
1997-10-01T00:00:00,48,Alberta,Total migration,8081
1997-10-01T00:00:00,48,Alberta,International,1212
1997-10-01T00:00:00,48,Alberta,Interprovincial,6869
1998-01-01T00:00:00,48,Alberta,Total migration,13780
1998-01-01T00:00:00,48,Alberta,International,2254
1998-01-01T00:00:00,48,Alberta,Interprovincial,11526
1998-04-01T00:00:00,48,Alberta,Total migration,16991
1998-04-01T00:00:00,48,Alberta,International,2702
1998-04-01T00:00:00,48,Alberta,Interprovincial,14289
1998-07-01T00:00:00,48,Alberta,Total migration,11800
1998-07-01T00:00:00,48,Alberta,International,2577
1998-07-01T00:00:00,48,Alberta,Interprovincial,9223
1998-10-01T00:00:00,48,Alberta,Interprovincial,5087
1998-10-01T00:00:00,48,Alberta,International,1273
1998-10-01T00:00:00,48,Alberta,Total migration,6360
1999-01-01T00:00:00,48,Alberta,Interprovincial,4590
1999-01-01T00:00:00,48,Alberta,International,2697
1999-01-01T00:00:00,48,Alberta,Total migration,7287
1999-04-01T00:00:00,48,Alberta,Interprovincial,6291
1999-04-01T00:00:00,48,Alberta,International,3848
1999-04-01T00:00:00,48,Alberta,Total migration,10139
1999-07-01T00:00:00,48,Alberta,Interprovincial,5719
1999-07-01T00:00:00,48,Alberta,International,3363
1999-07-01T00:00:00,48,Alberta,Total migration,9082
1999-10-01T00:00:00,48,Alberta,Interprovincial,3092
1999-10-01T00:00:00,48,Alberta,International,1111
1999-10-01T00:00:00,48,Alberta,Total migration,4203
2000-01-01T00:00:00,48,Alberta,Interprovincial,6752
2000-01-01T00:00:00,48,Alberta,International,3120
